# Pb206 Maxwellian-Averaged Cross Sections (MACS)
# REF: https://dx.doi.org/10.1103/PhysRevC.76.045805
# Cross sections and uncertainties in millibarns (mb)
# kT [keV]	n_TOF [mb]	± uncertainty [mb]
5.0	21.3	0.38
8.0	20.4	0.37
10.0	19.4	0.37
12.0	18.4	0.37
15.0	17.1	0.36
20.0	15.6	0.34
25.0	14.7	0.34
30.0	14.2	0.33
40.0	13.5	0.30
50.0	12.8	0.27
