# Ge70 Maxwellian-Averaged Cross Sections (MACS)
# REF https://dx.doi.org/10.1103/physrevc.100.045804
# Cross sections and uncertainties in millibarns (mb)
# kT [keV]	n_TOF [mb]	± uncertainty [mb]
5.0	212.4	9.3
10.0	159.7	7.1
20.0	115.8	5.6
30.0	94.2	4.9
40.0	80.8	4.3
50.0	71.5	3.9
60.0	64.6	3.6
70.0	59.3	3.3
80.0	55.1	3.0
90.0	51.7	2.9
100.0	48.9	2.7
