# Os187 Maxwellian-Averaged Cross Sections (MACS)
# REF https://dx.doi.org/10.1103/PhysRevC.82.015802
# Cross sections and uncertainties in millibarns (mb)
# kT [keV]	n_TOF [mb]	± uncertainty [mb]
5.0	3751	118
8.0	2590	83
10.0	2175	70
12.0	1889	61
15.0	1595	53
20.0	1291	42
23.0	1168	39
25.0	1100	37
30.0	969	32
40.0	794	27
50.0	683	23
60.0	605	21
70.0	545	19
80.0	500	18
90.0	464	15
100.0	434	14
