# Ni58 Maxwellian-Averaged Cross Sections (MACS)
# REF https://dx.doi.org/10.1103/PhysRevC.89.014605
# Cross sections and uncertainties in millibarns (mb)
# kT [keV]	n_TOF [mb]	± uncertainty [mb]
5.0	41.3	2.4
10.0	50.1	2.9
15.0	45.9	2.6
20.0	41.0	2.3
25.0	37.2	2.1
30.0	34.2	1.9
40.0	30.3	1.6
50.0	27.7	1.5
60.0	25.8	1.3
80.0	23.2	1.1
100.0	21.3	1.0
