# Ni62 Maxwellian-Averaged Cross Sections (MACS)
# REF: https://dx.doi.org/10.1103/PhysRevC.92.019903
# Cross sections and uncertainties in millibarns (mb)
# kT [keV]	n_TOF [mb]	± uncertainty [mb]
5.0	181.2	0.6
10.0	83.2	0.6
15.0	50.8	0.6
20.0	35.8	0.7
25.0	27.4	1.0
30.0	22.2	1.5
40.0	16.0	2.7
50.0	12.5	3.8
60.0	10.2	4.7
80.0	7.44	6.0
100.0	5.75	6.7
