# Ni63 Maxwellian-Averaged Cross Sections (MACS)
# REF: https://dx.doi.org/10.1103/PhysRevC.92.019903
# Cross sections and uncertainties in millibarns (mb)
# kT [keV]	n_TOF [mb]	± uncertainty [mb]
5.0	224	8
10.0	129.5	7.1
15.0	101.3	6.9
20.0	85.5	6.4
25.0	74.9	5.9
30.0	66.7	5.4
40.0	54.5	4.6
50.0	45.6	3.9
60.0	38.8	3.4
80.0	29.1	2.7
100.0	22.5	2.1
