# Os188 Maxwellian-Averaged Cross Sections (MACS)
# REF https://dx.doi.org/10.1103/PhysRevC.82.015802
# Cross sections and uncertainties in millibarns (mb)
# kT [keV]	n_TOF [mb]	± uncertainty [mb]
5.0	768	34
8.0	538	24
10.0	466	21
12.0	419	19
15.0	375	17
20.0	332	16
23.0	317	15
25.0	309	14
30.0	294	14
40.0	273	14
50.0	257	13
60.0	243	12
70.0	231	11
80.0	220	10
90.0	211	10
100.0	203	9
