# Zr92 Maxwellian-Averaged Cross Sections (MACS)
# REF: https://dx.doi.org/10.1103/physrevc.105.025805
# Cross sections and uncertainties in millibarns (mb)
# kT [keV]	n_TOF [mb]	± uncertainty [mb]
5.0	127.8	6.5
8.0	93.3	4.7
10.0	79.2	4.0
15.0	58.9	2.9
20.0	48.2	2.3
23.0	44.1	2.1
25.0	42.0	2.0
30.0	38.1	1.8
35.0	35.5	1.8
40.0	33.9	1.9
45.0	32.8	2.1
50.0	32.0	2.2
55.0	31.6	2.4
60.0	31.3	2.5
70.0	31.0	2.8
80.0	30.9	3.0
90.0	31.0	3.2
100.0	31.2	3.3
