# La139 Maxwellian-Averaged Cross Sections (MACS)
# REF https://dx.doi.org/10.1103/PhysRevC.75.035807
# Cross sections and uncertainties in millibarns (mb)
# kT [keV]	n_TOF [mb]	± uncertainty [mb]
5.0	106.9	5.3
8.0	74.8	4.1
10.0	63.2	3.9
12.5	53.9	3.8
15.0	48.1	3.8
17.5	43.8	3.7
20.0	40.3	3.3
30.0	32.4	3.1
35.0	29.8	3.0
40.0	27.7	2.8
45.0	25.3	2.5
50.0	23.6	2.4
60.0	22.0	2.2
70.0	19.9	2.0
85.0	17.4	1.7
100.0	15.2	1.5
