# Ge73 Maxwellian-Averaged Cross Sections (MACS)
# REF https://dx.doi.org/10.1016/j.physletb.2019.01.045
# Cross sections and uncertainties in millibarns (mb)
# kT [keV]	n_TOF [mb]	± uncertainty [mb]
5.0	1170	60
10.0	738	38
20.0	475	24
30.0	362	19
40.0	296	15
50.0	251	13
60.0	219	11
70.0	194	10
80.0	175.5	8.9
90.0	160.4	8.2
100.0	148.0	7.6
