# Ge76 Maxwellian-Averaged Cross Sections (MACS)
# REF https://dx.doi.org/10.1103/PhysRevC.104.044610
# Cross sections and uncertainties in millibarns (mb)
# kT [keV]	n_TOF [mb]	± uncertainty [mb]
5.0	65.0	3.3
10.0	38.7	1.9
20.0	24.5	1.2
25.0	21.3	1.0
30.0	19.2	0.9
40.0	16.3	0.9
50.0	14.5	0.9
60.0	13.3	0.9
70.0	12.4	0.9
80.0	11.7	0.9
90.0	11.1	0.9
100.0	10.7	0.9
