# Ge72 Maxwellian-Averaged Cross Sections (MACS)
# REF https://dx.doi.org/10.1103/physrevc.103.045809
# Cross sections and uncertainties in millibarns (mb)
# kT [keV]	n_TOF [mb]	± uncertainty [mb]
5.0	162.9	5.1
10.0	109.9	4.1
15.0	86.0	3.6
20.0	72.4	3.4
25.0	63.6	3.2
30.0	57.4	3.0
40.0	49.2	2.9
50.0	44.0	2.8
60.0	40.4	2.7
70.0	37.7	2.6
80.0	35.7	2.5
90.0	34.1	2.4
100.0	32.9	2.3
