# Se78 Maxwellian-Averaged Cross Sections (MACS)
# REF https://dx.doi.org/10.1103/physrevc.110.065805
# Cross sections and uncertainties in millibarns (mb)
# kT [keV]	n_TOF [mb]	± uncertainty [mb]
5.0	247	11
10.0	165.4	8.6
15.0	130.4	7.2
20.0	111.7	6.3
25.0	98.1	5.7
30.0	89.5	5.2
40.0	78.4	4.4
50.0	71.5	3.9
60.0	67.8	3.6
80.0	60.5	3.1
100.0	56.3	2.8
