# Y89 Maxwellian-Averaged Cross Sections (MACS)
# REF https://dx.doi.org/10.1140/epja/s10050-024-01243-4
# Cross sections and uncertainties in millibarns (mb)
# kT [keV]	n_TOF [mb]	± uncertainty [mb]
5.0	72.2	3.5
8.0	49.5	2.4
10.0	41.5	2.0
15.0	30.3	1.4
20.0	24.6	1.1
23.0	22.3	1.0
25.0	21.2	1.0
30.0	18.9	0.8
35.0	17.4	0.7
40.0	16.3	0.7
45.0	15.4	0.7
50.0	14.7	0.7
55.0	14.2	0.7
60.0	13.7	0.7
70.0	13.0	0.7
80.0	12.4	0.7
90.0	11.9	0.8
100.0	11.5	0.8
